     time (sec)           x (m)           y (m)           z (m)        vx (m/s)        vy (m/s)        vz (m/s)
             0.000000000000000       -6386965.790572937577963       -2444576.170399037189782        -688229.545856486191042           -665.452784630358565           -403.311236229004692           7578.348511165726450
            10.000000000000000       -6393227.653091914020479       -2448458.959980775602162        -612405.202090658480301           -586.906866522663677           -373.238720171438331           7586.364472461261357
            20.000000000000000       -6398703.687143187038600       -2452040.791838990990072        -536505.373414190951735           -508.288720394285235           -343.120315259127949           7593.445336023843083
            30.000000000000000       -6403393.219339666888118       -2455321.225807116832584        -460539.415321211039554           -429.608126139751391           -312.959766818705475           7599.590218647900656
            40.000000000000000       -6407295.674132429994643       -2458299.859199038706720        -384516.691537524282467           -350.874871491486203           -282.760825526952146           7604.798356910861912
            50.000000000000000       -6410410.573884355835617       -2460976.326859846711159        -308446.572825479554012           -272.098750906980740           -252.527246884571582           7609.069106909632865
            60.000000000000000       -6412737.538931112736464       -2463350.301211598329246        -232338.435788865346694           -193.289564266700637           -222.262790715749219           7612.401944299308525
            70.000000000000000       -6414276.287628673948348       -2465421.492294027935714        -156201.661676960386103           -114.457115506698855           -191.971220651100566           7614.796464374355310
            80.000000000000000       -6415026.636393934488297       -2467189.647802980616689         -80045.635191466673859            -35.611212168643696           -161.656303997505859           7616.252381631614298
            90.000000000000000       -6414988.499718788079917       -2468654.553118591196835          -3879.743285192246731             43.238337820741137           -131.321810489435848           7616.769530931472218
           100.000000000000000       -6414161.890177055262029       -2469816.031330498866737          72286.626035053719534            122.081726272912917           -100.971512218177381           7616.347866698074540
           110.000000000000000       -6412546.918425983749330       -2470673.943262130487710         148444.084902787610190            200.909145481519488            -70.609183477843231           7614.987462788561061
           120.000000000000000       -6410143.793180925771594       -2471228.187483023852110         224583.246791132260114            279.710791091173917            -40.238599461779117           7612.688513031741422
           130.000000000000000       -6406952.821189636364579       -2471478.700323291588575         300694.727707950049080            358.476861818462851             -9.863536648118311           7609.451330699438586
           140.000000000000000       -6402974.407179227098823       -2471425.455874335952103         376769.147393264749553            437.197562513904529             20.512228768884832           7605.276348811152275
           150.000000000000000       -6398209.053807079792023       -2471068.465995877981186         452797.130513776617590            515.863103355137241             50.884919980035257           7600.164119772677623
           160.000000000000000       -6392657.361584640108049       -2470407.780308545101434         528769.307858074666001            594.463703057893554             81.250761345775331           7594.115315489316345
           170.000000000000000       -6386320.028792539611459       -2469443.486184437759221         604676.317530334345065            672.989589346701450            111.605978325613663           7587.130727171268518
           180.000000000000000       -6379197.851385426707566       -2468175.708735249005258         680508.806143383728340            751.431000117138069            141.946797808123449           7579.211265282970999
           190.000000000000000       -6371291.722877441905439       -2466604.610789746511728         756257.430009370553307            829.778185447137844            172.269449248951020           7570.357959273943379
           200.000000000000000       -6362602.634220202453434       -2464730.392871442250907         831912.856330122915097            908.021408213904465            202.570164534942421           7560.571957563042815
           210.000000000000000       -6353131.673666160553694       -2462553.293170152232051         907465.764385899296030            986.150945617915454            232.845178642343626           7549.854527365452668
           220.000000000000000       -6342880.026619162410498       -2460073.587509399279952         982906.846722918911837           1064.157090472237087            263.090730063258150           7538.207054558438358
           230.000000000000000       -6331848.975466486997902       -2457291.589300949592143        1058226.810335230082273           1142.030153113880715            293.303062194750510           7525.631043051105735
           240.000000000000000       -6320039.899407162331045       -2454207.649508358445019        1133416.377851223573089           1219.760461567854918            323.478422123311248           7512.128115393954431
           250.000000000000000       -6307454.274258578196168       -2450822.156591838225722        1208466.288711036555469           1297.338363988927085            353.613062914309864           7497.700011651210843
           260.000000000000000       -6294093.672254067845643       -2447135.536454624962062        1283367.300344804767519           1374.754229358107523            383.703243129452972           7482.348589644138883
           270.000000000000000       -6279959.761827014386654       -2443148.252383771818131        1358110.189348027575761           1451.998448922073749            413.745227540817041           7466.075824572395504
           280.000000000000000       -6265054.307381624355912       -2438860.804985587950796        1432685.752653972944245           1529.061437506241873            443.735287639197111           7448.883808721301648
           290.000000000000000       -6249379.169050592929125       -2434273.732116729486734        1507084.808703510090709           1605.933634817843995            473.669702025025742           7430.774751223080784
           300.000000000000000       -6232936.302439402788877       -2429387.608813254628330        1581298.198613618966192           1682.605506796172222            503.544756543778647           7411.750977957107352
           310.000000000000000       -6215727.758357180282474       -2424203.047203273512423        1655316.787335336674005           1759.067546963444329            533.356746378571302           7391.814930198793263
           320.000000000000000       -6197755.682535151019692       -2418720.696424257475883        1729131.464814150705934           1835.310277624785613            563.101974926143839           7370.969165266834352
           330.000000000000000       -6179022.315331082791090       -2412941.242537156213075        1802733.147147589130327           1911.324251319742189            592.776754433771202           7349.216356030214229
           340.000000000000000       -6159529.991423083469272       -2406865.408423403277993        1876112.777731500100344           1987.100051803105544            622.377407952485441           7326.559289623190125
           350.000000000000000       -6139281.139486425556242       -2400493.953693097922951        1949261.328411557013169           2062.628295886997876            651.900267594025081           7303.000868327581884
           360.000000000000000       -6118278.281862694770098       -2393827.674571681767702        2022169.800620890688151           2137.899633975152483            681.341677486945059           7278.544107707326475
           370.000000000000000       -6096524.034209473989904       -2386867.403797927778214        2094829.226521720644087           2212.904752331032796            710.697991736624658           7253.192137501686375
           380.000000000000000       -6074021.105145406909287       -2379614.010499681346118        2167230.670133266597986           2287.634373117441555            739.965577629391532           7226.948199723397920
           390.000000000000000       -6050772.295873346738517       -2372068.400081797037274        2239365.228462588042021           2362.079257052113917            769.140813444601122           7199.815649425796437
           400.000000000000000       -6026780.499801523983479       -2364231.514091458637267        2311224.032622348982841           2436.230203126232482            798.220091588089531           7171.797952975666703
           410.000000000000000       -6002048.702139948494732       -2356104.330097151454538        2382798.248950230423361           2510.078051567653802            827.199816420043135           7142.898688548825703
           420.000000000000000       -5976579.979494705796242       -2347687.861547699198127        2454079.080116868019104           2583.613683556884553            856.076406987955920           7113.121544683399406
           430.000000000000000       -5950377.499449203722179       -2338983.157628269400448        2525057.766228982247412           2656.828022840234553            884.846296855109472           7082.470319973137521
           440.000000000000000       -5923444.520122244954109       -2329991.303124800324440        2595725.585929097607732           2729.712038129931443            913.505933190483233           7050.948922694245084
           450.000000000000000       -5895784.389726794324815       -2320713.418268080335110        2666073.857485191896558           2802.256742577034402            942.051779332225578           7018.561369682422082
           460.000000000000000       -5867400.546111796051264       -2311150.658579170238227        2736093.939874963369220           2874.453195917146786            970.480314104586796           6985.311785900475115
           470.000000000000000       -5838296.516292014159262       -2301304.214710331987590        2805777.233863221015781           2946.292505445145707            998.788032520718275           6951.204403686734622
           480.000000000000000       -5808475.915966643020511       -2291175.312280817423016        2875115.183072042651474           3017.765827169442673           1026.971446247481254           6916.243562032933369
           490.000000000000000       -5777942.449026479385793       -2280765.211708033457398        2944099.275043617468327           3088.864366950115254           1055.027084064535075           6880.433705844467113
           500.000000000000000       -5746699.907049763947725       -2270075.208034142851830        3012721.042295620311052           3159.579381620446384           1082.951492317413113           6843.779385183971499
           510.000000000000000       -5714752.168784830719233       -2259106.630750371143222        3080972.063368448521942           3229.902180324251731           1110.741235119007797           6806.285254445470855
           520.000000000000000       -5682103.199627913534641       -2247860.843610443174839        3148843.963865961879492           3299.824124902865606           1138.392895524750884           6767.956071716030237
           530.000000000000000       -5648757.051084367558360       -2236339.244445728138089        3216328.417487180791795           3369.336631664662036           1165.903075232798983           6728.796697839840817
           540.000000000000000       -5614717.860220892354846       -2224543.264974412508309        3283417.147050162777305           3438.431172203570895           1193.268395255085579           6688.812095645766021
           550.000000000000000       -5579989.849105562083423       -2212474.370608447119594        3350101.925506868865341           3507.099274651705400           1220.485496088029095           6648.007329023859711
           560.000000000000000       -5544577.324243305251002       -2200134.060249919537455        3416374.576952191069722           3575.332524030945478           1247.551038873197967           6606.387562376378810
           570.000000000000000       -5508484.675994005054235       -2187523.866091703996062        3482226.977621246594936           3643.122564125585541           1274.461704806344869           6563.958059381569910
           580.000000000000000       -5471716.377987925894558       -2174645.353405524976552        3547651.056881913449615           3710.461097612484082           1301.214196536772533           6520.724182568535070
           590.000000000000000       -5434276.986525882966816       -2161500.120332678779960        3612638.798215846531093           3777.339887656697101           1327.805237808913944           6476.691392125544553
           600.000000000000000       -5396171.139970145188272       -2148089.797670899890363        3677182.240190598182380           3843.750758821397540           1354.231573846777792           6431.865245004373719
           610.000000000000000       -5357403.558130715042353       -2134416.048650859855115        3741273.477426528930664           3909.685597452486491           1380.489972487116347           6386.251394449173858
           620.000000000000000       -5317979.041636401787400       -2120480.568717375863343        3804904.661550401244313           3975.136353302391399           1406.577223546953746           6339.855588580133372
           630.000000000000000       -5277902.471302428282797       -2106285.085298519581556        3868068.002144852187485           4040.095039758172334           1432.490140194510104           6292.683670067164712
           640.000000000000000       -5237178.807483881711960       -2091831.357579558389261        3930755.767684235703200           4104.553735349627459           1458.225558305759250           6244.741574676775599
           650.000000000000000       -5195813.089425279758871       -2077121.176264876499772        3992960.286466446239501           4168.504584037209497           1483.780337820444856           6196.035330959886778
           660.000000000000000       -5153810.434597096405923       -2062156.363344746408984        4054673.947530993260443           4231.939796600487171           1509.151362091550482           6146.571058781816646
           670.000000000000000       -5111176.038027752190828       -2046938.771850428776816        4115889.201572962105274           4294.851650993556177           1534.335539224395689           6096.354969008520129
           680.000000000000000       -5067915.171623792499304       -2031470.285613850923255        4176598.561843381728977           4357.232493613797487           1559.329801423191611           6045.393362038845225
           690.000000000000000       -5024033.183484132401645       -2015752.819018400507048        4236794.605043884366751           4419.074739803957527           1584.131106067402698           5993.692627339105456
           700.000000000000000       -4979535.497206233441830       -1999788.316745365737006        4296469.972212872467935           4480.370874705176902           1608.736436034876306           5941.259242531032214
           710.000000000000000       -4934427.611182218417525       -1983578.753524067113176        4355617.369598943740129           4541.113454259097125           1633.142799298347654           5888.099772100537848
           720.000000000000000       -4888715.097888868302107       -1967126.133872650098056        4414229.569528654217720           4601.295105782703104           1657.347229979885697           5834.220866897066117
           730.000000000000000       -4842403.603169588372111       -1950432.491835040040314        4472299.411265443079174           4660.908528791721437           1681.346788652648684           5779.629263202853508
           740.000000000000000       -4795498.845507536083460       -1933499.890721355564892        4529819.801856373436749           4719.946495885149488           1705.138561945070933           5724.331781495343421
           750.000000000000000       -4748006.615292040631175       -1916330.422839330974966        4586783.716972660273314           4778.401853390114411           1728.719663570939247           5668.335325885850580
           760.000000000000000       -4699932.774077123031020       -1898926.209224052494392        4643184.201740439981222           4836.267522165924674           1752.087234395586620           5611.646883092839744
           770.000000000000000       -4651283.253832446411252       -1881289.399362842552364        4699014.371562948450446           4893.536498354207652           1775.238442966667662           5554.273521603854533
           780.000000000000000       -4602064.056186578236520       -1863422.170923103578389        4754267.412931529805064           4950.201854144193931           1798.170485137520018           5496.222390527639618
           790.000000000000000       -4552281.251663010567427       -1845326.729471626924351        4808936.584229409694672           5006.256738492520526           1820.880585049633510           5437.500718914313438
           800.000000000000000       -4501940.978908711113036       -1827005.308192243799567        4863015.216525750234723           5061.694377871215693           1843.365995202698514           5378.115814746469368
           810.000000000000000       -4451049.443915204145014       -1808460.167599576758221        4916496.714360524900258           5116.508077009058070           1865.623996884461803           5318.075064029704663
           820.000000000000000       -4399612.919232644140720       -1789693.595253963023424        4969374.556519323959947           5170.691219589720276           1887.651899978393658           5257.385929772000964
           830.000000000000000       -4347637.743176355957985       -1770707.905469133984298        5021642.296799580566585           5224.237269007953728           1909.447043825821993           5196.055951143800485
           840.000000000000000       -4295130.319026049226522       -1751505.439015968237072        5073293.564767140895128           5277.139769093771065           1931.006797502180689           5134.092742488332078
           850.000000000000000       -4242097.114218384027481       -1732088.562829643720761        5124322.066502866335213           5329.392344774742924           1952.328559491314536           5071.503992326208390
           860.000000000000000       -4188544.659531839191914       -1712459.669706382090226        5174721.585339865647256           5380.988702848278081           1973.409758784767519           5008.297462417636780
           870.000000000000000       -4134479.548265099991113       -1692621.178004546323791        5224485.982591009698808           5431.922632619821343           1994.247854365682997           4944.480986781914908
           880.000000000000000       -4079908.435407948214561       -1672575.531335867242888        5273609.198266254737973           5482.188006655183017           2014.840336275974323           4880.062470673313328
           890.000000000000000       -4024838.036805681418628       -1652325.198260767152533        5322085.251780590042472           5531.778781418473045           2035.184725121491283           4815.049889640820766
           900.000000000000000       -3969275.128316370770335       -1631872.671974172582850        5369908.242651072330773           5580.688997990540884           2055.278573108653745           4749.451288424969789
           910.000000000000000       -3913226.544961560983211       -1611220.469995185500011        5417072.351184697821736           5628.912782714827699           2075.119463567400544           4683.274780046076557
           920.000000000000000       -3856699.180070227012038       -1590371.133847611956298        5463571.839154764078557           5676.444347869607554           2094.705011954849397           4616.528544632559715
           930.000000000000000       -3799699.984416139777750       -1569327.228743429062888        5509401.050467960536480           5723.277992322759019           2114.032865472042431           4549.220828504904603
           940.000000000000000       -3742235.965348792262375       -1548091.343260347144678        5554554.411820196546614           5769.408102168427831           2133.100703721383525           4481.359943028419366
           950.000000000000000       -3684314.185917973984033       -1526666.089017519494519        5599026.433341900818050           5814.829151357627779           2151.906238854932781           4412.954263562739470
           960.000000000000000       -3625941.763992099091411       -1505054.100348770851269        5642811.709232556633651           5859.535702315344679           2170.447215827543005           4344.012228376052917
           970.000000000000000       -3567125.871370442211628       -1483258.033973329002038        5685904.918384298682213           5903.522406544289879           2188.721412645217242           4274.542337547632087
           980.000000000000000       -3507873.732889757957309       -1461280.568662511417642        5728300.824994041584432           5946.784005175619313           2206.726640780428625           4204.553151809840529
           990.000000000000000       -3448192.625524091534317       -1439124.404908574884757        5769994.279165782034397           5989.315329654929883           2224.460744893523497           4134.053291577420168
          1000.000000000000000       -3388089.877479789778590       -1416792.264586987439543        5810980.217500424012542           6031.111302195124154           2241.921603582174157           4063.051435667598525
          1010.000000000000000       -3327572.867284802719951       -1394286.890617471886799        5851253.663674553856254           6072.166936352286029           2259.107129435067691           3991.556320210370814
          1020.000000000000000       -3266649.022872606758028       -1371611.046622990630567        5890809.729007842950523           6112.477337550904849           2276.015269252096914           3919.576737499849060
          1030.000000000000000       -3205325.820660968311131       -1348767.516586555168033        5929643.613018907606602           6152.037703591357968           2292.644004258169844           3847.121534837508534
          1040.000000000000000       -3143610.784625717438757       -1325759.104505934752524        5967750.603969571180642           6190.843325139110675           2308.991350310424878           3774.199613368214614
          1050.000000000000000       -3081511.485369753558189       -1302588.634046335937455        6005126.079397439025342           6228.889586195198717           2325.055358098675697           3700.819926910030063
          1060.000000000000000       -3019035.539187390822917       -1279258.948191088391468        6041765.506636770442128           6266.171964547662355           2340.834113338966745           3626.991480778724053
          1070.000000000000000       -2956190.607124317903072       -1255772.908890450838953        6077664.443327562883496           6302.686032203623654           2356.325736960097856           3552.723330608139349
          1080.000000000000000       -2892984.394034020137042       -1232133.396706956438720        6112818.537912715226412           6338.427455727295637           2371.528385458941102           3478.024581157322700
          1090.000000000000000       -2829424.647628181613982       -1208343.310463695321232        6147223.530123697593808           6373.391996856164951           2386.440250546068000           3402.904385161672963
          1100.000000000000000       -2765519.157525088172406       -1184405.566886555170640        6180875.251454003155231           6407.575512652632824           2401.059559836723110           3327.371942105998187
          1110.000000000000000       -2701275.754293917678297       -1160323.100245954934508        6213769.625620866194367           6440.973955931502132           2415.384576834082054           3251.436497054636675
          1120.000000000000000       -2636702.308495555073023       -1136098.861997216939926        6245902.669015113264322           6473.583375595013422           2429.413601080388162           3175.107339467441307
          1130.000000000000000       -2571806.729720083530992       -1111735.820419436087832        6277270.491139235906303           6505.399916949151702           2443.144968301268818           3098.393802018057158
          1140.000000000000000       -2506596.965621269308031       -1087236.960252959514037        6307869.295033613219857           6536.419822001593275           2456.577050543328369           3021.305259415662476
          1150.000000000000000       -2441081.000948110595345       -1062605.282335512572899        6337695.377691000699997           6566.639429741918320           2469.708256305233135           2943.851127231029295
          1160.000000000000000       -2375266.856573696713895       -1037843.803237049258314        6366745.130459305830300           6596.055176404664053           2482.537030662501820           2866.040860727859581
          1170.000000000000000       -2309162.588521528989077       -1012955.554893391788937        6395015.039432681165636           6624.663595715948759           2495.061855386249590           2787.883953700223174
          1180.000000000000000       -2242776.286989897955209        -987943.584237057366408        6422501.685831409879029           6652.461319071762773           2507.281249233879862           2709.389937355470920
          1190.000000000000000       -2176116.075372602790594        -962810.952831755625084        6449201.746369265019894           6679.445075917343274           2519.193767522178860           2630.568379052727323
          1200.000000000000000       -2109190.109278968069702        -937560.736501401173882        6475111.993610300123692           6705.611693781565009           2530.798002765064666           2551.428881272429408
          1210.000000000000000       -2042006.575551536865532        -912196.024959267582744        6500229.296314083971083           6730.958098523590706           2542.092584592713138           2471.981080449229012
          1220.000000000000000       -1974573.691281859297305        -886719.921436353470199        6524550.619769627228379           6755.481314510235279           2553.076179844753369           2392.234645848985565
          1230.000000000000000       -1906899.702824583509937        -861135.542308840085752        6548073.026118102483451           6779.178464782334231           2563.747492659461386           2312.199278454812884
          1240.000000000000000       -1838992.884809931740165        -835446.016724676475860        6570793.674664495512843           6802.046771211136729           2574.105264559290390           2231.884709862268210
          1250.000000000000000       -1770861.539154625032097        -809654.486229314934462        6592709.822178245522082           6824.083554645740151           2584.148274533097720           2151.300701183644378
          1260.000000000000000       -1702513.994071441469714        -783764.104390662396327        6613818.823182963766158           6845.286235052552001           2593.875339115437328           2070.457041961360574
          1270.000000000000000       -1633958.603077342966571        -757778.036423225421458        6634118.130235344171524           6865.652331647759638           2603.285312463279752           1989.363549090063316
          1280.000000000000000       -1565203.744000269565731        -731699.458810241427273        6653605.294193712063134           6885.179463032574859           2612.377086569932544           1908.030065789379478
          1290.000000000000000       -1496257.817984876222908        -705531.558928822865710        6672277.964474790729582           6903.865347293959530           2621.149590912406438           1826.466460413491859
          1300.000000000000000       -1427129.248496930347756        -679277.534670850727707        6690133.889300961978734           6921.707802135741986           2629.601792953897530           1744.682625528499784
          1310.000000000000000       -1357826.480326635064557        -652940.594064086442813        6707170.915936734527349           6938.704744989341634           2637.732698067908586           1662.688476821207132
